file,line,type,field,id,priority
stops,12560,SuspectStopLocationError,stop_id,31033_node_fare_gates_unpaid_2,MEDIUM
stops,12642,SuspectStopLocationError,stop_id,31034_node_main_hall,MEDIUM
stops,14219,SuspectStopLocationError,stop_id,33035_node_mezzanine_paid_stair_market_southwest,MEDIUM
stops,14229,SuspectStopLocationError,stop_id,33035_node_mezzanine_rotogate_market_southwest_paid,MEDIUM
stops,14029,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_e4_landing,MEDIUM
stops,12660,SuspectStopLocationError,stop_id,416_boarding_l1_eastbound_west,MEDIUM
stops,14274,SuspectStopLocationError,stop_id,33036_node_exitgate_central_east_paid,MEDIUM
stops,14259,SuspectStopLocationError,stop_id,33036_boarding_track_4_position_2,MEDIUM
stops,13974,SuspectStopLocationError,stop_id,33034_node_b_platform_north_end_t_stair_landing_nb,MEDIUM
stops,13909,SuspectStopLocationError,stop_id,33034_boarding_l_wb_2,MEDIUM
stops,13999,SuspectStopLocationError,stop_id,33034_node_clothespin_corridor_rotogate_e_paid_area,MEDIUM
stops,14001,SuspectStopLocationError,stop_id,33034_node_clothespin_corridor_upper_ramp_n_unpaid_area,MEDIUM
stops,12617,SuspectStopLocationError,stop_id,31034_node_east_stairs_bottom,MEDIUM
stops,14097,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_sc_unpaid_area,MEDIUM
stops,14199,SuspectStopLocationError,stop_id,33035_node_mezzanine_30th_street_northwest_escalator_south,MEDIUM
stops,14058,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_e3_landing,MEDIUM
stops,14068,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_jfk_lower_elevator_landing,MEDIUM
stops,14125,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_pe7_landing,MEDIUM
stops,14218,SuspectStopLocationError,stop_id,33035_node_mezzanine_paid_stair_market_northeast,MEDIUM
stops,13941,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_paid_stair_to_nb_b,MEDIUM
stops,14071,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_junction_nw_unpaid_area,MEDIUM
stops,12556,SuspectStopLocationError,stop_id,31033_node_exit_gate_paid_area_east,MEDIUM
stops,12524,SuspectStopLocationError,stop_id,31033_boarding_track_1_boarding_central,MEDIUM
stops,12659,SuspectStopLocationError,stop_id,416_boarding_l1_eastbound_east,MEDIUM
stops,12646,SuspectStopLocationError,stop_id,31034_node_shopping_concourse_north,MEDIUM
stops,14139,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_bottom_stair_ne_to_mezzanine_b,MEDIUM
stops,14022,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_east_b_faregate_e_unpaid,MEDIUM
stops,13984,SuspectStopLocationError,stop_id,33034_node_b_platform_sb_south_stair_e_landing,MEDIUM
stops,12549,SuspectStopLocationError,stop_id,31033_node_escalator_2_platform,MEDIUM
stops,13995,SuspectStopLocationError,stop_id,33034_node_clothespin_corridor_lower_ramp_ne_paid_area,MEDIUM
stops,14245,SuspectStopLocationError,stop_id,33035_node_platform_stair_market_central_southwest,MEDIUM
stops,12654,SuspectStopLocationError,stop_id,31034_node_west_terminal_crosswalk_central,MEDIUM
stops,14128,SuspectStopLocationError,stop_id,33034_node_l_platform_eb_transfer_corridor_1,MEDIUM
stops,13998,SuspectStopLocationError,stop_id,33034_node_clothespin_corridor_nw_unpaid_area,MEDIUM
stops,14067,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_jfk_lower_central_junction,MEDIUM
stops,13931,SuspectStopLocationError,stop_id,33034_node_b_mezzanine_north_faregate_paid_area,MEDIUM
stops,12598,SuspectStopLocationError,stop_id,31033_node_top_of_stair_g,MEDIUM
stops,13991,SuspectStopLocationError,stop_id,33034_node_broad_st_concourse_stair_b_platform_sb,MEDIUM
stops,14140,SuspectStopLocationError,stop_id,33034_node_l_platform_wb_bottom_stair_se_to_mezzanine_b,MEDIUM
stops,14098,SuspectStopLocationError,stop_id,33034_node_l_mezzanine_west_se_paid_area,MEDIUM
stops,14281,SuspectStopLocationError,stop_id,33036_node_exitgate_north_west_unpaid,MEDIUM
